City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,77.95,25,0,13.8,NA,1719529006
1,albany,42.6001,-73.9662,71.58,54,32,1.99,US,1719528725
2,punta arenas,-53.15,-70.9167,30.31,93,100,3.44,CL,1719528715
3,blackmans bay,-43.0167,147.3167,47.73,87,100,1.99,AU,1719529007
4,bethel,41.3712,-73.414,80.01,54,5,1.99,US,1719528787
5,hamilton,39.1834,-84.5333,84.76,48,40,6.91,US,1719529007
6,waitangi,-43.9535,-176.5597,53.82,96,100,5.01,NZ,1719529007
7,port lincoln,-34.7333,135.8667,58.46,51,100,17.78,AU,1719529007
8,hithadhoo,-0.6,73.0833,82.92,73,86,2.33,MV,1719529007
9,arkhangel'sk,64.5401,40.5433,50.11,100,40,6.71,RU,1719528804
10,adamstown,-25.066,-130.1015,70.57,82,9,17.18,PN,1719529008
11,grytviken,-54.2811,-36.5092,25.25,94,100,10.65,GS,1719529008
12,mount gambier,-37.8333,140.7667,49.87,59,100,11.5,AU,1719528805
13,udachny,66.4167,112.4,68.88,45,95,8.25,RU,1719529008
14,oranjemund,-28.55,16.4333,70.18,33,0,12.68,NA,1719528910
15,dudinka,69.4058,86.1778,64.98,85,93,17.18,RU,1719528804
16,carnarvon,-24.8667,113.6333,66.85,66,15,23.02,AU,1719528803
17,copala,16.65,-98.9833,83.71,69,48,10.76,MX,1719529009
18,p'ot'i,42.1462,41.672,66.07,81,21,6.98,GE,1719529009
19,puerto ayora,-0.7393,-90.3518,84.16,92,98,5.01,EC,1719529009
20,katsuura,35.1333,140.3,71.62,97,100,8.72,JP,1719529009
21,puerto natales,-51.7236,-72.4875,28.45,89,25,2.68,CL,1719529009
22,yongchuan,29.3514,105.8947,68.29,99,100,1.52,CN,1719529009
23,tralee,52.2704,-9.7026,52.47,86,57,14.72,IE,1719529010
24,port-aux-francais,-49.35,70.2167,36.48,64,85,31.5,TF,1719529010
25,lebu,-37.6167,-73.65,48.51,80,0,11.99,CL,1719529010
26,college,64.8569,-147.8028,84.07,29,75,0.0,US,1719528927
27,saint-pierre,-21.3393,55.4781,65.88,72,100,9.22,RE,1719529011
28,tiksi,71.6872,128.8694,39.85,71,56,7.94,RU,1719528791
29,margaret river,-33.95,115.0667,55.13,88,88,12.62,AU,1719529011
30,papatowai,-46.5619,169.4708,47.62,85,100,1.43,NZ,1719529011
31,bredasdorp,-34.5322,20.0403,58.26,52,0,4.74,ZA,1719529011
32,daru,-9.0763,143.2092,79.54,91,69,15.66,PG,1719529012
33,mkushi,-13.6202,29.3939,55.11,63,0,6.67,ZM,1719529012
34,cockburn town,21.4612,-71.1419,82.0,88,32,15.26,TC,1719528931
35,lompoc,34.6391,-120.4579,68.59,68,20,12.66,US,1719529012
36,riviere-du-loup,47.8304,-69.5342,52.07,87,100,9.22,CA,1719528834
37,talnakh,69.4865,88.3972,67.86,75,84,10.0,RU,1719529012
38,afaahiti,-17.75,-149.2833,80.47,83,40,23.38,PF,1719529013
39,bilibino,68.0546,166.4372,62.64,39,100,2.01,RU,1719529013
40,olonkinbyen,70.9221,-8.7187,37.02,90,100,6.71,SJ,1719529013
41,isafjordur,66.0755,-23.124,40.68,78,71,6.17,IS,1719528807
42,wailua homesteads,22.0669,-159.378,81.39,74,75,12.66,US,1719528791
43,luderitz,-26.6481,15.1594,69.57,35,3,6.78,NA,1719529013
